epoch,accuracy,loss,val_accuracy,val_loss
0,0.55071396,1.4992396912961372,0.5993697,1.3561973722041154
1,0.7932874,0.630569243599518,0.7534633,0.7741280193088436
2,0.8584277,0.42892700416073704,0.79154354,0.6854266584420404
3,0.8838011,0.345423212136059,0.81577045,0.5922132154472736
4,0.8935336,0.3193776579242063,0.83382577,0.5394114205817214
5,0.91411453,0.2541107703782294,0.7785438,0.7403392633971047
6,0.9204333,0.23298199844732942,0.8422953,0.5185791559579993
7,0.93041193,0.20314353907047655,0.81957847,0.6213726994871092
8,0.93146235,0.19954205367187747,0.8722343,0.422705802346478
9,0.9365994,0.18695667147246336,0.8961986,0.32216755983208406
10,0.94431317,0.16034094022569212,0.86087584,0.48843415407072593
11,0.93325126,0.20203331099263988,0.86776966,0.4261806628533772
12,0.94841623,0.14812831779436628,0.8979713,0.33204522259345576
